日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240430,4920,日本色材工業研究所,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4921,ファンケル,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20240430,4922,コーセー,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20240430,4923,コタ,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4925,ハーバー研究所,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4926,シーボン,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4927,ポーラ・オルビスホールディングス,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20240430,4928,ノエビアホールディングス,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20240430,4929,アジュバンホールディングス,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4930,グラフィコ,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4931,新日本製薬,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4932,アルマード,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4933,Ｉ－ｎｅ,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4934,プレミアアンチエイジング,グロース（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4935,リベルタ,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4936,アクシージア,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4937,Ｗａｑｏｏ,グロース（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4951,エステー,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4955,アグロ　カネショウ,スタンダード（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
